id,name,base_experience,height,weight,speed,hp,attack,defense,special-attack,special-defense,forms,species,is_default,pokemon_order,type1,type2,ability1,ability2,ability3,base_happiness,capture_rate,color,evolves_from_species,forms_switchable,generation,growth_rate,habitat,has_gender_differences,hatch_counter,is_baby,is_legendary,is_mythical,species_order,pal_park_encounters,shape,varieties,egg_group1,egg_group2,%_female,%_male
1,bulbasaur,64.0,7,69,45,45,49,49,65,65,bulbasaur,bulbasaur,True,1,grass,poison,overgrow,chlorophyll,,50,45,green,,False,1,medium-slow,grassland,False,20.0,False,False,False,1,field,quadruped,['bulbasaur'],monster,plant,12.5,87.5
2,ivysaur,142.0,10,130,60,60,62,63,80,80,ivysaur,ivysaur,True,2,grass,poison,overgrow,chlorophyll,,50,45,green,bulbasaur,False,1,medium-slow,grassland,False,20.0,False,False,False,2,field,quadruped,['ivysaur'],monster,plant,12.5,87.5
3,venusaur,263.0,20,1000,80,80,82,83,100,100,venusaur,venusaur,True,3,grass,poison,overgrow,chlorophyll,,50,45,green,ivysaur,True,1,medium-slow,grassland,True,20.0,False,False,False,3,field,quadruped,"['venusaur', 'venusaur-mega', 'venusaur-gmax']",monster,plant,12.5,87.5
10033,venusaur-mega,281.0,24,1555,80,80,100,123,122,120,venusaur-mega,venusaur,False,4,grass,poison,thick-fat,,,50,45,green,ivysaur,True,1,medium-slow,grassland,True,20.0,False,False,False,3,field,quadruped,"['venusaur', 'venusaur-mega', 'venusaur-gmax']",monster,plant,12.5,87.5
10195,venusaur-gmax,236.0,240,10000,80,80,82,83,100,100,venusaur-gmax,venusaur,False,-1,grass,poison,overgrow,chlorophyll,,50,45,green,ivysaur,True,1,medium-slow,grassland,True,20.0,False,False,False,3,field,quadruped,"['venusaur', 'venusaur-mega', 'venusaur-gmax']",monster,plant,12.5,87.5
4,charmander,62.0,6,85,65,39,52,43,60,50,charmander,charmander,True,5,fire,,blaze,solar-power,,50,45,red,,False,1,medium-slow,mountain,False,20.0,False,False,False,4,field,upright,['charmander'],monster,dragon,12.5,87.5
5,charmeleon,142.0,11,190,80,58,64,58,80,65,charmeleon,charmeleon,True,6,fire,,blaze,solar-power,,50,45,red,charmander,False,1,medium-slow,mountain,False,20.0,False,False,False,5,field,upright,['charmeleon'],monster,dragon,12.5,87.5
6,charizard,267.0,17,905,100,78,84,78,109,85,charizard,charizard,True,7,fire,flying,blaze,solar-power,,50,45,red,charmeleon,True,1,medium-slow,mountain,False,20.0,False,False,False,6,field,upright,"['charizard', 'charizard-mega-x', 'charizard-mega-y', 'charizard-gmax']",monster,dragon,12.5,87.5
10034,charizard-mega-x,285.0,17,1105,100,78,130,111,130,85,charizard-mega-x,charizard,False,8,fire,dragon,tough-claws,,,50,45,red,charmeleon,True,1,medium-slow,mountain,False,20.0,False,False,False,6,field,upright,"['charizard', 'charizard-mega-x', 'charizard-mega-y', 'charizard-gmax']",monster,dragon,12.5,87.5
10035,charizard-mega-y,285.0,17,1005,100,78,104,78,159,115,charizard-mega-y,charizard,False,9,fire,flying,drought,,,50,45,red,charmeleon,True,1,medium-slow,mountain,False,20.0,False,False,False,6,field,upright,"['charizard', 'charizard-mega-x', 'charizard-mega-y', 'charizard-gmax']",monster,dragon,12.5,87.5
10196,charizard-gmax,240.0,280,10000,100,78,84,78,109,85,charizard-gmax,charizard,False,-1,fire,flying,blaze,solar-power,,50,45,red,charmeleon,True,1,medium-slow,mountain,False,20.0,False,False,False,6,field,upright,"['charizard', 'charizard-mega-x', 'charizard-mega-y', 'charizard-gmax']",monster,dragon,12.5,87.5
7,squirtle,63.0,5,90,43,44,48,65,50,64,squirtle,squirtle,True,10,water,,torrent,rain-dish,,50,45,blue,,False,1,medium-slow,waters-edge,False,20.0,False,False,False,7,pond,upright,['squirtle'],monster,water1,12.5,87.5
8,wartortle,142.0,10,225,58,59,63,80,65,80,wartortle,wartortle,True,11,water,,torrent,rain-dish,,50,45,blue,squirtle,False,1,medium-slow,waters-edge,False,20.0,False,False,False,8,pond,upright,['wartortle'],monster,water1,12.5,87.5
9,blastoise,265.0,16,855,78,79,83,100,85,105,blastoise,blastoise,True,12,water,,torrent,rain-dish,,50,45,blue,wartortle,True,1,medium-slow,waters-edge,False,20.0,False,False,False,9,pond,upright,"['blastoise', 'blastoise-mega', 'blastoise-gmax']",monster,water1,12.5,87.5
10036,blastoise-mega,284.0,16,1011,78,79,103,120,135,115,blastoise-mega,blastoise,False,13,water,,mega-launcher,,,50,45,blue,wartortle,True,1,medium-slow,waters-edge,False,20.0,False,False,False,9,pond,upright,"['blastoise', 'blastoise-mega', 'blastoise-gmax']",monster,water1,12.5,87.5
10197,blastoise-gmax,239.0,250,10000,78,79,83,100,85,105,blastoise-gmax,blastoise,False,-1,water,,torrent,rain-dish,,50,45,blue,wartortle,True,1,medium-slow,waters-edge,False,20.0,False,False,False,9,pond,upright,"['blastoise', 'blastoise-mega', 'blastoise-gmax']",monster,water1,12.5,87.5
10,caterpie,39.0,3,29,45,45,30,35,20,20,caterpie,caterpie,True,14,bug,,shield-dust,run-away,,50,255,green,,False,1,medium,forest,False,15.0,False,False,False,10,forest,armor,['caterpie'],bug,,50.0,50.0
11,metapod,72.0,7,99,30,50,20,55,25,25,metapod,metapod,True,15,bug,,shed-skin,,,50,120,green,caterpie,False,1,medium,forest,False,15.0,False,False,False,11,forest,squiggle,['metapod'],bug,,50.0,50.0
12,butterfree,198.0,11,320,70,60,45,50,90,80,butterfree,butterfree,True,16,bug,flying,compound-eyes,tinted-lens,,50,45,white,metapod,False,1,medium,forest,True,15.0,False,False,False,12,forest,bug-wings,"['butterfree', 'butterfree-gmax']",bug,,50.0,50.0
10198,butterfree-gmax,178.0,170,10000,70,60,45,50,90,80,butterfree-gmax,butterfree,False,-1,bug,flying,compound-eyes,tinted-lens,,50,45,white,metapod,False,1,medium,forest,True,15.0,False,False,False,12,forest,bug-wings,"['butterfree', 'butterfree-gmax']",bug,,50.0,50.0
13,weedle,39.0,3,32,50,40,35,30,20,20,weedle,weedle,True,17,bug,poison,shield-dust,run-away,,70,255,brown,,False,1,medium,forest,False,15.0,False,False,False,13,forest,armor,['weedle'],bug,,50.0,50.0
14,kakuna,72.0,6,100,35,45,25,50,25,25,kakuna,kakuna,True,18,bug,poison,shed-skin,,,70,120,yellow,weedle,False,1,medium,forest,False,15.0,False,False,False,14,forest,squiggle,['kakuna'],bug,,50.0,50.0
15,beedrill,178.0,10,295,75,65,90,40,45,80,beedrill,beedrill,True,19,bug,poison,swarm,sniper,,70,45,yellow,kakuna,True,1,medium,forest,False,15.0,False,False,False,15,forest,bug-wings,"['beedrill', 'beedrill-mega']",bug,,50.0,50.0
10090,beedrill-mega,223.0,14,405,145,65,150,40,15,80,beedrill-mega,beedrill,False,20,bug,poison,adaptability,,,70,45,yellow,kakuna,True,1,medium,forest,False,15.0,False,False,False,15,forest,bug-wings,"['beedrill', 'beedrill-mega']",bug,,50.0,50.0
16,pidgey,50.0,3,18,56,40,45,40,35,35,pidgey,pidgey,True,21,normal,flying,keen-eye,tangled-feet,big-pecks,70,255,brown,,False,1,medium-slow,forest,False,15.0,False,False,False,16,field,wings,['pidgey'],flying,,50.0,50.0
17,pidgeotto,122.0,11,300,71,63,60,55,50,50,pidgeotto,pidgeotto,True,22,normal,flying,keen-eye,tangled-feet,big-pecks,70,120,brown,pidgey,False,1,medium-slow,forest,False,15.0,False,False,False,17,field,wings,['pidgeotto'],flying,,50.0,50.0
18,pidgeot,216.0,15,395,101,83,80,75,70,70,pidgeot,pidgeot,True,23,normal,flying,keen-eye,tangled-feet,big-pecks,70,45,brown,pidgeotto,True,1,medium-slow,forest,False,15.0,False,False,False,18,field,wings,"['pidgeot', 'pidgeot-mega']",flying,,50.0,50.0
10073,pidgeot-mega,261.0,22,505,121,83,80,80,135,80,pidgeot-mega,pidgeot,False,24,normal,flying,no-guard,,,70,45,brown,pidgeotto,True,1,medium-slow,forest,False,15.0,False,False,False,18,field,wings,"['pidgeot', 'pidgeot-mega']",flying,,50.0,50.0
19,rattata,51.0,3,35,72,30,56,35,25,35,rattata,rattata,True,25,normal,,run-away,guts,hustle,70,255,purple,,False,1,medium,grassland,True,15.0,False,False,False,19,field,quadruped,"['rattata', 'rattata-alola']",ground,,50.0,50.0
10091,rattata-alola,51.0,3,38,72,30,56,35,25,35,rattata-alola,rattata,False,26,dark,normal,gluttony,hustle,thick-fat,70,255,purple,,False,1,medium,grassland,True,15.0,False,False,False,19,field,quadruped,"['rattata', 'rattata-alola']",ground,,50.0,50.0
20,raticate,145.0,7,185,97,55,81,60,50,70,raticate,raticate,True,27,normal,,run-away,guts,hustle,70,127,brown,rattata,False,1,medium,grassland,True,15.0,False,False,False,20,field,quadruped,"['raticate', 'raticate-alola', 'raticate-totem-alola']",ground,,50.0,50.0
10092,raticate-alola,145.0,7,255,77,75,71,70,40,80,raticate-alola,raticate,False,28,dark,normal,gluttony,hustle,thick-fat,70,127,brown,rattata,False,1,medium,grassland,True,15.0,False,False,False,20,field,quadruped,"['raticate', 'raticate-alola', 'raticate-totem-alola']",ground,,50.0,50.0
